,task,conversation_id,instruction_id,index,speaker,text,segments,new_text,Gold labels,DA_indicators_sent,DA_rep_init,DA_rep,DA_greet,DA_req_sum,DA_conf,DA_receipt,DA_disconf,DA_inquiry,DA_closer,all_DA
2441,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,0,ASSISTANT,Hello.,,Hello.,,greeting,,,greeting,,,,,,,['greeting']
2442,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,1,USER,"Hi. I need help organizing a flight. I'm looking to fly to Dublin, Ireland.","[{'start_index': 59, 'end_index': 74, 'text': 'Dublin, Ireland', 'annotations': [{'name': 'flight_search.destination1'}]}]",Hi.,,greeting,,,greeting,,,,,,,['greeting']
2443,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,1,USER,"Hi. I need help organizing a flight. I'm looking to fly to Dublin, Ireland.","[{'start_index': 59, 'end_index': 74, 'text': 'Dublin, Ireland', 'annotations': [{'name': 'flight_search.destination1'}]}]",I need help organizing a flight.,,x,,,,,,,,,,[]
2444,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,1,USER,"Hi. I need help organizing a flight. I'm looking to fly to Dublin, Ireland.","[{'start_index': 59, 'end_index': 74, 'text': 'Dublin, Ireland', 'annotations': [{'name': 'flight_search.destination1'}]}]","I'm looking to fly to Dublin, Ireland.",,x,,,,,,,,,,[]
2445,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,2,ASSISTANT,Okay. Can you give me some specifications?,,Okay.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
2446,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,2,ASSISTANT,Okay. Can you give me some specifications?,,Can you give me some specifications?,,x,,,,,,,,inquiry,,['inquiry']
2447,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,3,USER,"Yes. Well, I'm looking to fly on June 4th, and come back on June 12th. I'm looking to spend up to $3,000 and I'm looking for Economy class.","[{'start_index': 33, 'end_index': 41, 'text': 'June 4th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 60, 'end_index': 69, 'text': 'June 12th', 'annotations': [{'name': 'flight_search.date.return'}]}, {'start_index': 92, 'end_index': 104, 'text': 'up to $3,000', 'annotations': [{'name': 'flight_search.price_range'}]}, {'start_index': 125, 'end_index': 138, 'text': 'Economy class', 'annotations': [{'name': 'flight_search.seating_class'}]}]",Yes.,,confirmation,,,,,confirmation,,,,,['confirmation']
2448,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,3,USER,"Yes. Well, I'm looking to fly on June 4th, and come back on June 12th. I'm looking to spend up to $3,000 and I'm looking for Economy class.","[{'start_index': 33, 'end_index': 41, 'text': 'June 4th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 60, 'end_index': 69, 'text': 'June 12th', 'annotations': [{'name': 'flight_search.date.return'}]}, {'start_index': 92, 'end_index': 104, 'text': 'up to $3,000', 'annotations': [{'name': 'flight_search.price_range'}]}, {'start_index': 125, 'end_index': 138, 'text': 'Economy class', 'annotations': [{'name': 'flight_search.seating_class'}]}]","Well, I'm looking to fly on June 4th, and come back on June 12th.",,x,,,,,,,,,,[]
2449,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,3,USER,"Yes. Well, I'm looking to fly on June 4th, and come back on June 12th. I'm looking to spend up to $3,000 and I'm looking for Economy class.","[{'start_index': 33, 'end_index': 41, 'text': 'June 4th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 60, 'end_index': 69, 'text': 'June 12th', 'annotations': [{'name': 'flight_search.date.return'}]}, {'start_index': 92, 'end_index': 104, 'text': 'up to $3,000', 'annotations': [{'name': 'flight_search.price_range'}]}, {'start_index': 125, 'end_index': 138, 'text': 'Economy class', 'annotations': [{'name': 'flight_search.seating_class'}]}]","I'm looking to spend up to $3,000 and I'm looking for Economy class.",,x,,,,,,,,,,[]
2450,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,4,ASSISTANT,Do you prefer non-stop or layover?,"[{'start_index': 14, 'end_index': 22, 'text': 'non-stop', 'annotations': [{'name': 'flight_search.stops'}]}, {'start_index': 26, 'end_index': 33, 'text': 'layover', 'annotations': [{'name': 'flight_search.stops'}]}]",Do you prefer non-stop or layover?,,x,,,,,,,,inquiry,,['inquiry']
2451,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,5,USER,"I prefer a non-stop, but if there is a layover again, I'm okay with it.","[{'start_index': 11, 'end_index': 19, 'text': 'non-stop', 'annotations': [{'name': 'flight_search.stops'}]}, {'start_index': 39, 'end_index': 46, 'text': 'layover', 'annotations': [{'name': 'flight_search.stops'}]}]","I prefer a non-stop, but if there is a layover again, I'm okay with it.",,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
2452,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,6,ASSISTANT,What time of day did you want to leave?,,What time of day did you want to leave?,,repair_initiator,repair_initiator,,,,,,,inquiry,,"['repair_initiator', 'inquiry']"
2453,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,7,USER,I'd like to leave in the morning between 6:00 A.M. and 11:00 A.M.,"[{'start_index': 18, 'end_index': 32, 'text': 'in the morning', 'annotations': [{'name': 'flight_search.time_of_day'}]}, {'start_index': 33, 'end_index': 64, 'text': 'between 6:00 A.M. and 11:00 A.M', 'annotations': [{'name': 'flight_search.time_of_day'}]}]",I'd like to leave in the morning between 6:00 A.M. and 11:00 A.M.,,x,,,,,,,,,,[]
2454,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,8,ASSISTANT,I found a flight for you.,,I found a flight for you.,,x,,,,,,,,,,[]
2455,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,9,USER,Okay.,,Okay.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
2456,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,10,ASSISTANT,United Airlines.,"[{'start_index': 0, 'end_index': 15, 'text': 'United Airlines', 'annotations': [{'name': 'flight1_detail.airline'}]}]",United Airlines.,,x,,,,,,,,,,[]
2457,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,11,USER,Okay. United is pretty good.,"[{'start_index': 6, 'end_index': 12, 'text': 'United', 'annotations': [{'name': 'flight1_detail.airline'}]}]",Okay.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
2458,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,11,USER,Okay. United is pretty good.,"[{'start_index': 6, 'end_index': 12, 'text': 'United', 'annotations': [{'name': 'flight1_detail.airline'}]}]",United is pretty good.,,x,,,,,,,,,,[]
2459,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,12,USER,United is pretty good.,"[{'start_index': 0, 'end_index': 6, 'text': 'United', 'annotations': [{'name': 'flight1_detail.airline'}]}]",United is pretty good.,,x,,,,,,,,,,[]
2460,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,13,ASSISTANT,And a two and a half hour layover in Newark EWR.,"[{'start_index': 6, 'end_index': 25, 'text': 'two and a half hour', 'annotations': [{'name': 'flight1_detail.other_description'}]}, {'start_index': 26, 'end_index': 33, 'text': 'layover', 'annotations': [{'name': 'flight1_detail.stops'}]}, {'start_index': 37, 'end_index': 47, 'text': 'Newark EWR', 'annotations': [{'name': 'flight1_detail.stops.location'}]}]",And a two and a half hour layover in Newark EWR.,,x,,,,,,,,,,[]
2461,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,14,USER,Okay.,,Okay.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
2462,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,15,ASSISTANT,It'll depart at 10:55 A.M. and arrives in Dublin at 5:05 A.M.,"[{'start_index': 16, 'end_index': 26, 'text': '10:55 A.M.', 'annotations': [{'name': 'flight1_detail.from.time'}]}, {'start_index': 42, 'end_index': 48, 'text': 'Dublin', 'annotations': [{'name': 'flight1_detail.to'}]}, {'start_index': 52, 'end_index': 60, 'text': '5:05 A.M', 'annotations': [{'name': 'flight1_detail.to.time'}]}]",It'll depart at 10:55 A.M. and arrives in Dublin at 5:05 A.M.,,x,,,,,,,,,,[]
2463,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,16,USER,Okay.,,Okay.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
2464,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,17,ASSISTANT,Anything else I can help you with?,,Anything else I can help you with?,,greeting,,,greeting,,,,,inquiry,,"['greeting', 'inquiry']"
2465,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,18,USER,"Nothing else for today, that pretty much covers it. Thank you for organize the flight for me.",,"Nothing else for today, that pretty much covers it.",,greeting,,,greeting,,,,,,,['greeting']
2466,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,18,USER,"Nothing else for today, that pretty much covers it. Thank you for organize the flight for me.",,Thank you for organize the flight for me.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
2467,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,19,ASSISTANT,"No problem, enjoy your day.",,"No problem, enjoy your day.",,x,,,,,,,,,,[]
2468,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,20,USER,I'll try to. Enjoy yours as well.,,I'll try to.,,x,,,,,,,,,,[]
2469,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,20,USER,I'll try to. Enjoy yours as well.,,Enjoy yours as well.,,x,,,,,,,,,,[]
4625,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,0,USER,I would like help finding a flight to Berlin.,"[{'start_index': 38, 'end_index': 44, 'text': 'Berlin', 'annotations': [{'name': 'flight_search.destination1'}]}]",I would like help finding a flight to Berlin.,,x,,,,,,,,,,[]
4626,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,1,ASSISTANT,When would you like to go to Berlin?,"[{'start_index': 29, 'end_index': 35, 'text': 'Berlin', 'annotations': [{'name': 'flight_search.destination1'}]}]",When would you like to go to Berlin?,,x,,,,,,,,inquiry,,['inquiry']
