,task,conversation_id,instruction_id,index,speaker,text,segments,new_text,gold_labels,G_DA_rep_init,G_DA_greet,G_DA_conf,G_DA_receipt,G_DA_disconf,G_DA_closer,G_DA_comp_check,G_DA_hold,G_DA_partial_req,G_DA_detail_req,G_DA_grant,G_DA_answer,DA_rep_init,DA_greet,DA_conf,DA_receipt,DA_disconf,DA_closer,DA_comp_check,DA_hold,DA_partial_req,DA_detail_req,DA_grant,DA_answer,all_DA
2441,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,0,A,Hello.,,Hello.,greeting,,greeting,,,,,,,,,,,,greeting,,,,,,,,,,,['greeting']
2442,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,1,U,"Hi. I need help organizing a flight. I'm looking to fly to Dublin, Ireland.","[{'start_index': 59, 'end_index': 74, 'text': 'Dublin, Ireland', 'annotations': [{'name': 'flight_search.destination1'}]}]",Hi.,greeting,,greeting,,,,,,,,,,,,greeting,,,,,,,,,,,['greeting']
2443,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,1,U,"Hi. I need help organizing a flight. I'm looking to fly to Dublin, Ireland.","[{'start_index': 59, 'end_index': 74, 'text': 'Dublin, Ireland', 'annotations': [{'name': 'flight_search.destination1'}]}]",I need help organizing a flight.,partial_request,,,,,,,,,partial_request,,,,,,,,,,,,,,,,[]
2444,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,1,U,"Hi. I need help organizing a flight. I'm looking to fly to Dublin, Ireland.","[{'start_index': 59, 'end_index': 74, 'text': 'Dublin, Ireland', 'annotations': [{'name': 'flight_search.destination1'}]}]","I'm looking to fly to Dublin, Ireland.",partial_request,,,,,,,,,partial_request,,,,,,,,,,,,,,,,[]
2445,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,2,A,Okay. Can you give me some specifications?,,Okay.,confirmation,,,confirmation,,,,,,,,,,,,confirmation,,,,,,,,,,['confirmation']
2446,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,2,A,Okay. Can you give me some specifications?,,Can you give me some specifications?,detail_request,,,,,,,,,,detail_request,,,,,,,,,,,,detail_request,,,['detail_request']
2447,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,3,U,"Yes. Well, I'm looking to fly on June 4th, and come back on June 12th. I'm looking to spend up to $3,000 and I'm looking for Economy class.","[{'start_index': 33, 'end_index': 41, 'text': 'June 4th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 60, 'end_index': 69, 'text': 'June 12th', 'annotations': [{'name': 'flight_search.date.return'}]}, {'start_index': 92, 'end_index': 104, 'text': 'up to $3,000', 'annotations': [{'name': 'flight_search.price_range'}]}, {'start_index': 125, 'end_index': 138, 'text': 'Economy class', 'annotations': [{'name': 'flight_search.seating_class'}]}]",Yes.,confirmation,,,confirmation,,,,,,,,,,,,confirmation,,,,,,,,,answer,"['confirmation', 'answer']"
2448,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,3,U,"Yes. Well, I'm looking to fly on June 4th, and come back on June 12th. I'm looking to spend up to $3,000 and I'm looking for Economy class.","[{'start_index': 33, 'end_index': 41, 'text': 'June 4th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 60, 'end_index': 69, 'text': 'June 12th', 'annotations': [{'name': 'flight_search.date.return'}]}, {'start_index': 92, 'end_index': 104, 'text': 'up to $3,000', 'annotations': [{'name': 'flight_search.price_range'}]}, {'start_index': 125, 'end_index': 138, 'text': 'Economy class', 'annotations': [{'name': 'flight_search.seating_class'}]}]","Well, I'm looking to fly on June 4th, and come back on June 12th.",answer,,,,,,,,,,,,answer,,,,,,,,,,,,,[]
2449,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,3,U,"Yes. Well, I'm looking to fly on June 4th, and come back on June 12th. I'm looking to spend up to $3,000 and I'm looking for Economy class.","[{'start_index': 33, 'end_index': 41, 'text': 'June 4th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 60, 'end_index': 69, 'text': 'June 12th', 'annotations': [{'name': 'flight_search.date.return'}]}, {'start_index': 92, 'end_index': 104, 'text': 'up to $3,000', 'annotations': [{'name': 'flight_search.price_range'}]}, {'start_index': 125, 'end_index': 138, 'text': 'Economy class', 'annotations': [{'name': 'flight_search.seating_class'}]}]","I'm looking to spend up to $3,000 and I'm looking for Economy class.",answer,,,,,,,,,,,,answer,,,,,,,,,,,,,[]
2450,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,4,A,Do you prefer non-stop or layover?,"[{'start_index': 14, 'end_index': 22, 'text': 'non-stop', 'annotations': [{'name': 'flight_search.stops'}]}, {'start_index': 26, 'end_index': 33, 'text': 'layover', 'annotations': [{'name': 'flight_search.stops'}]}]",Do you prefer non-stop or layover?,detail_request,,,,,,,,,,detail_request,,,,,,,,,,,,detail_request,,,['detail_request']
